Designator,Mid X,Mid Y,Layer,Rotation
S1,25.7866,41.9866,TopLayer,180
JP2,34.7548,35,BottomLayer,270
JP1,32.0824,35,TopLayer,90
U1,17.8989,35,TopLayer,90
R4,22.6121,28.128,TopLayer,180
D2,21.04,26.6265,TopLayer,180
F2,24.8755,38.2004,TopLayer,0
R8,18.808,28.1278,TopLayer,0
Q1,10.2705,29.7168,TopLayer,180
C2,8.092,42.2055,TopLayer,90
R25,24.5142,28.128,TopLayer,180
D3,24.596,26.6265,TopLayer,180
X1,25.1393,34.2823,TopLayer,90
R14,11.8961,37.3368,TopLayer,270
R13,17.446,41.0198,TopLayer,180
R12,16.9159,29.0784,TopLayer,180
R11,19.3383,41.0198,TopLayer,180
R10,18.811,29.0782,TopLayer,0
R9,22.6012,29.0782,TopLayer,0
D1,17.484,26.6265,TopLayer,180
C14,24.4962,29.0784,TopLayer,180
C13,25.3581,36.778,TopLayer,180
C6,25.3581,31.7996,TopLayer,0
R7,20.7101,28.1278,TopLayer,0
R24,7.4003,28.6754,TopLayer,0
R23,9.9403,37.3368,TopLayer,270
J2,5.0135,34.9747,TopLayer,270
C7,11.8966,32.5834,TopLayer,270
C8,20.7061,29.0782,TopLayer,0
C9,24.4962,30.0632,TopLayer,180
C10,15.5537,41.0198,TopLayer,180
C5,13.7412,42.0885,TopLayer,90
F1,6.6383,42.3152,TopLayer,90
LDO1,10.8203,42.1535,TopLayer,180
R1,9.89,32.6596,TopLayer,0
R2,15.0208,29.0784,TopLayer,180
R3,9.89,31.6944,TopLayer,180
R6,9.89,33.6248,TopLayer,180
R15,15.0405,28.1436,TopLayer,0
